step, mode,         action,   x, y, theta, w_right, w_left
0, MotionPlanning,  init,     0, 0, 0, 0, 0
1, MotionPlanning,  forward,  12, 0, 0, 2, 2
2, Search&Destroy,  green,    0, 0, 90, 0, 0
3, MotionPlanning,  forward,  36, 0, 0, 2, 2
4, MotionPlanning,  turn,     36, 0, -90, 1.5, 1.5
5, MotionPlanning,  forward,  60, 0, -90, 2, 2
6, Search&Destroy,  red,      0, 0, -90, 0, 0
7, Search&Destroy,  red,      0, 0, 90, 0, 0
8, MotionPlanning,  backward, 24, 0, -90, -2, -2
9, Search&Destroy,  green,    0, 0, 90, 0, 0
10, MotionPlanning, forward,  36, 0, -90, 2, 2
11, MotionPlanning, turn,     36, 0, 0, 1.5, 1.5
12, MotionPlanning, forward,  72, 0, 0, 2, 2
13, Search&Destroy, red,      0, 0, 90, 0, 0
14, MotionPlanning, turn,     72, 0, 180, 1.5, 1.5
13, MotionPlanning, forward,  144, 0, 180, 2, 2
14, MotionPlanning, turn,     144, 0, 0, 1.5, 1.5
