step, mode,         action,   x, y, theta, w_right, w_left
0, MotionPlanning,  init,     0, 0, 0, 0, 0
1, MotionPlanning,  forward,  0, 0, 0, 2, 2
2, Search&Destroy,  green,    0, 0, 90, 0, 0
3, MotionPlanning,  forward,  113, 0, 0, 2, 2
6, Search&Destroy,  red,      0, 0, -90, 0, 0
7, Search&Destroy,  red,      0, 0, 90, 0, 0
8, MotionPlanning,  turn,     113, 0, -180, 1.5, 1.5
9, MotionPlanning,  forward,  170, 0, -180, 2, 2
10, MotionPlanning, turn,     170, 0, -90, 1.5, 1.5
11, MotionPlanning, forward,  185, 0, -90, 2, 2
12, Search&Destroy, red,      0, 0, -90, 0, 0
13, MotionPlanning, turn,     185, 0, 90, 1.5, 1.5
14, MotionPlanning, forward,  217, 0, 90, 2, 2  
15, Search&Destroy, red,      0, 0, -90, 0, 0
16, MotionPlanning, turn,     217, 0, -90, 2, 2  
17, MotionPlanning, forward,  239, 0, -90, 2, 2  
18, MotionPlanning, turn,     239, 0, -180, 2, 2  
19, MotionPlanning, forward,  315, 0, -180, 2, 2
